Freq	Wavenum	WaveR		
2155.43	999.9999993	99.99992814	99	99.992814
2159.04	999.9999976	99.99976243	99	99.976243
2162.66	999.9999952	99.99951711	99	99.951711
2166.28	999.9999905	99.99904644	99	99.904644
2169.89	999.9999817	99.99817063	99	99.817063
2173.51	999.9999659	99.99659032	99	99.659032
2177.13	999.9999383	99.99382581	99	99.382581
2180.74	999.9998914	99.98913818	99	98.913818
2184.36	999.9998144	99.98143557	99	98.143557
2187.98	999.9996917	99.96917399	99	96.917399
2191.59	999.9995027	99.95027101	99	95.027101
2195.21	999.9992206	99.92206027	99	92.206027
2198.83	999.9988132	99.88132332	99	88.132332
2202.44	999.9982444	99.82443853	99	82.443853
2206.06	999.9974768	99.74768063	99	74.768063
2209.68	999.9964769	99.64768622	99	64.768622
2213.29	999.9952207	99.52206756	99	52.206756
2216.91	999.9937011	99.3701149	99	37.01149
2220.53	999.9919348	99.19348172	99	19.348172
2224.14	999.9899671	98.99671284	98	99.671284
2227.76	999.9878746	98.78746433	98	78.746433
2231.38	999.9857629	98.5762882	98	57.62882
2235	999.9837592	98.3759179	98	37.59179
2238.61	999.9820008	98.200084	98	20.0084
2242.23	999.98062	98.06199508	98	6.199508
2245.85	999.9797271	97.97270998	97	97.270998
2249.46	999.9793968	97.93967733	97	93.967733
2253.08	999.9796571	97.96570976	97	96.570976
2256.7	999.9804859	98.04858854	98	4.858854
2260.31	999.9818138	98.18137574	98	18.137574
2263.93	999.9835337	98.35337307	98	35.337307
2267.55	999.9855154	98.55154352	98	55.154352
2271.16	999.9876213	98.76213416	98	76.213416
2274.78	999.9897222	98.97222167	98	97.222167
2278.4	999.9917095	99.17094577	99	17.094577
2282.01	999.9935028	99.35028354	99	35.028354
2285.63	999.9950532	99.50532262	99	50.532262
2289.25	999.9963409	99.63408745	99	63.408745
2292.86	999.9973704	99.73704017	99	73.704017
2296.48	999.9981641	99.81640614	99	81.640614
2300.1	999.9987547	99.87546734	99	87.546734
2303.71	999.9991793	99.91793376	99	91.793376
2307.33	999.9994746	99.9474586	99	94.74586
2310.95	999.9996732	99.96731907	99	96.731907
2314.57	999.9998025	99.98025112	99	98.025112
2318.18	999.9998841	99.98840568	99	98.840568
2321.8	999.9999339	99.99338693	99	99.338693
2325.42	999.9999634	99.9963355	99	99.63355
2329.03	999.9999803	99.99802721	99	99.802721
2332.65	999.9999897	99.99896819	99	99.896819
2336.27	999.9999948	99.99947571	99	99.947571
2339.88	999.9999974	99.99974118	99	99.974118
2343.5	999.9999992	99.99991778	99	99.991778
2347.12	1000	100	100	0
2350.73	1000	100	100	0
2354.35	1000	100	100	0
2357.97	1000	100	100	0
2361.58	1000	100	100	0
2365.2	1000	100	100	0
2368.82	1000	100	100	0
2372.43	1000	100	100	0
2376.05	1000	100	100	0
2379.67	1000	100	100	0
2383.28	1000	100	100	0
2386.9	1000	100	100	0
2390.52	1000	100	100	0
2394.13	1000	100	100	0
2397.75	1000	100	100	0
2401.37	1000	100	100	0
2404.99	1000	100	100	0
2408.6	1000	100	100	0
2412.22	1000	100	100	0
2415.84	1000	100	100	0
2419.45	1000	100	100	0
2423.07	1000	100	100	0
2426.69	1000	100	100	0
2430.3	1000	100	100	0
2433.92	1000	100	100	0
2437.54	1000	100	100	0
2441.15	1000	100	100	0
2444.77	1000	100	100	0
2448.39	1000	100	100	0
2452	1000	100	100	0
2455.62	1000	100	100	0
2459.24	1000	100	100	0
2462.85	1000	100	100	0
2466.47	1000	100	100	0
2470.09	1000	100	100	0
2473.7	1000	100	100	0
2477.32	1000	100	100	0
2480.94	1000	100	100	0
2484.56	1000	100	100	0
2488.17	1000	100	100	0
2491.79	1000	100	100	0
2495.41	1000	100	100	0
2499.02	1000	100	100	0
2502.64	1000	100	100	0
2506.26	1000	100	100	0
2509.87	1000	100	100	0
2513.49	1000	100	100	0
2517.11	1000	100	100	0
2520.72	1000	100	100	0
2524.34	1000	100	100	0
2527.96	1000	100	100	0
2531.57	1000	100	100	0
2535.19	1000	100	100	0
2538.81	1000	100	100	0
2542.42	1000	100	100	0
2546.04	1000	100	100	0
2549.66	1000	100	100	0
2553.27	1000	100	100	0
2556.89	1000	100	100	0
2560.51	1000	100	100	0
2564.13	1000	100	100	0
2567.74	1000	100	100	0
2571.36	1000	100	100	0
2574.98	1000	100	100	0
2578.59	1000	100	100	0
2582.21	1000	100	100	0
2585.83	1000	100	100	0
2589.44	1000	100	100	0
2593.06	1000	100	100	0
2596.68	1000	100	100	0
2600.29	1000	100	100	0
2603.91	1000	100	100	0
2607.53	1000	100	100	0
2611.14	1000	100	100	0
2614.76	1000	100	100	0
2618.38	1000	100	100	0
2621.99	1000	100	100	0
2625.61	1000	100	100	0
2629.23	1000	100	100	0
2632.84	1000	100	100	0
2636.46	1000	100	100	0
2640.08	1000	100	100	0
2643.7	1000	100	100	0
2647.31	1000	100	100	0
2650.93	1000	100	100	0
2654.55	1000	100	100	0
2658.16	1000	100	100	0
2661.78	1000	100	100	0
2665.4	1000	100	100	0
2669.01	1000	100	100	0
2672.63	1000	100	100	0
2676.25	1000	100	100	0
2679.86	1000	100	100	0
2683.48	1000	100	100	0
2687.1	1000	100	100	0
2690.71	1000	100	100	0
2694.33	1000	100	100	0
2697.95	1000	100	100	0
2701.56	1000	100	100	0
2705.18	1000	100	100	0
2708.8	1000	100	100	0
2712.41	1000	100	100	0
2716.03	1000	100	100	0
2719.65	1000	100	100	0
2723.26	1000	100	100	0
2726.88	1000	100	100	0
2730.5	1000	100	100	0
2734.12	1000	100	100	0
2737.73	1000	100	100	0
2741.35	1000	100	100	0
2744.97	1000	100	100	0
2748.58	1000	100	100	0
2752.2	1000	100	100	0
2755.82	1000	100	100	0
2759.43	1000	100	100	0
2763.05	1000	100	100	0
2766.67	1000	100	100	0
2770.28	1000	100	100	0
2773.9	1000	100	100	0
2777.52	1000	100	100	0
2781.13	1000	100	100	0
2784.75	1000	100	100	0
2788.37	1000	100	100	0
